Samsung,54.4,2220.01,120,Premium
Samsung,64.2,1345.33,120,Premium
Samsung,60.4,1117.08,60,Premium
Samsung,58.2,869.32,60,Premium
Samsung,50.7,1804.52,60,Premium
Samsung,50.7,1951.86,60,Premium
Samsung,49.0,828.2,120,Premium
Samsung,62.7,1670.56,120,Premium
Samsung,58.2,1185.04,120,Premium
Samsung,60.0,1896.79,60,Premium
Samsung,48.3,1096.42,120,Premium
Samsung,64.5,1974.59,120,Premium
Samsung,62.2,1457.45,60,Premium
Samsung,51.6,2392.44,120,Premium
Samsung,51.1,1033.79,120,Premium
Samsung,51.1,1379.81,120,Premium
Samsung,53.2,992.9,120,Premium
Samsung,56.9,2371.98,60,Premium
Samsung,55.3,2291.48,120,Premium
Samsung,53.0,1238.5,120,Premium
Samsung,58.4,1921.97,120,Premium
Samsung,50.4,2189.28,120,Premium
Samsung,53.0,1743.84,120,Premium
Samsung,54.2,1700.41,60,Premium
Samsung,55.8,1211.15,60,Premium
Samsung,61.3,958.27,120,Premium
Samsung,51.4,2325.27,60,Premium
Samsung,56.7,2330.71,120,Premium
Samsung,58.1,1876.27,144,Premium
Samsung,48.8,1376.35,120,Premium
Samsung,58.3,1393.66,120,Premium
Samsung,50.9,2034.12,120,Premium
Samsung,49.1,2325.09,120,Premium
Samsung,64.1,2308.05,120,Premium
Samsung,64.4,2125.79,144,Premium
Samsung,61.7,1891.45,120,Premium
Samsung,53.2,943.04,144,Premium
Samsung,49.7,1074.77,144,Premium
Samsung,59.6,2327.54,60,Premium
Samsung,55.5,1830.93,60,Premium
Samsung,50.1,815.63,60,Premium
Samsung,56.4,972.5,60,Premium
Samsung,48.6,1927.95,60,Premium
Samsung,63.5,808.6,120,Premium
Samsung,52.4,1073.37,60,Premium
Samsung,59.3,1732.85,120,Premium
Samsung,53.3,1976.22,120,Premium
Samsung,56.8,1908.33,60,Premium
Samsung,57.3,1181.26,120,Premium
Samsung,51.1,2010.7,60,Premium
Samsung,64.5,1203.32,60,Premium
Samsung,61.2,1353.18,120,Premium
Samsung,64.0,2069.04,120,Premium
Samsung,63.2,1904.38,120,Premium
Samsung,58.2,2243.68,120,Premium
Xiaomi,48.6,628.81,60,Budget
Xiaomi,33.6,584.15,60,Budget
Xiaomi,35.5,346.84,50,Budget
Xiaomi,32.8,483.86,60,Budget
Xiaomi,37.9,432.6,60,Budget
Xiaomi,39.0,421.99,60,Budget
Xiaomi,36.9,786.51,60,Budget
Xiaomi,46.9,496.55,60,Budget
